32   0 0 0
33 ! 0 5 5
34 " 5 11 6
35 # 11 26 15
36 $ 26 40 14
37 % 40 57 17
38 & 57 70 13
39 ' 70 75 5
40 ( 75 81 6
41 ) 81 87 6
42 * 87 95 8
43 + 95 106 11
44 , 106 110 4
45 - 110 117 6
46 . 117 122 5
47 / 122 132 10
48 0 132 146 14
49 1 146 150 4
50 2 150 164 14
51 3 164 176 11
52 4 176 190 14
53 5 190 201 11
54 6 201 215 14
55 7 215 229 14
56 8 229 242 13
57 9 242 255 13
58 : 255 259 4
59 ; 259 264 5
60 < 264 274 10
61 = 274 286 12
62 > 286 297 11
63 ? 297 310 13
64 @ 310 326 16
65 A 326 340 14
66 B 340 353 13
67 C 353 366 13
68 D 366 379 13
69 E 379 392 13
70 F 392 403 11
71 G 403 416 13
72 H 416 429 11
73 I 429 433 4
74 J 433 443 10
75 K 443 456 13
76 L 456 466 10
77 M 466 482 16
78 N 482 495 13
79 O 495 508 13
80 P 508 521 13
81 Q 521 534 13
82 R 534 548 12
83 S 548 561 13
84 T 561 574 13
85 U 574 587 12
86 V 587 604 17
87 W 604 621 17
88 X 621 635 14
89 Y 635 651 16
90 Z 651 661 10
91 [ 663 670 7
92 \ 670 679 9
93 ] 679 685 6
94 ^ 685 698 13
95 _ 698 707 9
96 ` 707 714 7
97 a 714 724 10
98 b 724 734 10
99 c 736 745 9
100 d 745 755 10
101 e 756 766 10
102 f 766 774 8
103 g 774 784 10
104 h 785 795 10
105 i 795 799 4
106 j 799 805 6
107 k 805 816 11
108 l 816 820 4
109 m 821 834 13
110 n 835 845 10
111 o 846 856 10
112 p 857 867 10
113 q 869 879 10
114 r 880 888 8
115 s 888 898 10
116 t 898 907 9
117 u 907 918 11
118 v 919 930 11
119 w 930 947 17
120 x 947 957 10
121 y 957 968 11
122 z 968 978 10
123 { 979 987 8
124 | 987 990 3
125 } 990 997 7
126 ~ 998 1009 11
